"genres","href","id","image_height","image_url","image_width","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","genre","max_height"
"pop","https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02","06HL4z0CvFAxyc27GXpf02",640,"https://i.scdn.co/image/ab6761610000e5eb5a00969a4698c3132a15fbb0",640,"Taylor Swift",99,"artist","spotify:artist:06HL4z0CvFAxyc27GXpf02","https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02",NA,66097492,"Pop",640
"c(""canadian hip hop"", ""canadian pop"", ""hip hop"", ""rap"", ""toronto rap"")","https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4","3TVXtAsR1Inumwj472S9r4",640,"https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9",640,"Drake",97,"artist","spotify:artist:3TVXtAsR1Inumwj472S9r4","https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4",NA,70985090,"Pop",640
"c(""pop"", ""r&b"")","https://api.spotify.com/v1/artists/7tYKF4w9nC0nq9CsPZTHyP","7tYKF4w9nC0nq9CsPZTHyP",640,"https://i.scdn.co/image/ab6761610000e5eb7eb7f6371aad8e67e01f0a03",640,"SZA",95,"artist","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP",NA,10084320,"Pop",640
"c(""canadian contemporary r&b"", ""canadian pop"", ""pop"")","https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ","1Xyo4u8uXC1ZmMpatF05PJ",640,"https://i.scdn.co/image/ab6761610000e5ebb5f9e28219c169fd4b9e8379",640,"The Weeknd",97,"artist","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ",NA,56651011,"Pop",640
"c(""dance pop"", ""pop"")","https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR","66CXWjxzNUsdJxJ2JdwvnR",640,"https://i.scdn.co/image/ab6761610000e5ebcdce7620dc940db079bf4952",640,"Ariana Grande",91,"artist","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR",NA,86932841,"Pop",640
"c(""barbadian pop"", ""dance pop"", ""pop"", ""urban contemporary"")","https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H","5pKCCKE2ajJHZ9KAiaK11H",640,"https://i.scdn.co/image/ab6761610000e5eb99e4fca7c0b7cb166d915789",640,"Rihanna",90,"artist","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H",NA,52105004,"Pop",640
"c(""art pop"", ""pop"")","https://api.spotify.com/v1/artists/00FQb4jTyendYWaN8pK0wa","00FQb4jTyendYWaN8pK0wa",640,"https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261",640,"Lana Del Rey",90,"artist","spotify:artist:00FQb4jTyendYWaN8pK0wa","https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa",NA,20268008,"Pop",640
"c(""dance pop"", ""pop"")","https://api.spotify.com/v1/artists/5cj0lLjcoR7YOSnhnX0Po5","5cj0lLjcoR7YOSnhnX0Po5",640,"https://i.scdn.co/image/ab6761610000e5eb727a2ac15afe659be999beba",640,"Doja Cat",88,"artist","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","https://open.spotify.com/artist/5cj0lLjcoR7YOSnhnX0Po5",NA,24010027,"Pop",640
"c(""dance pop"", ""r&b"")","https://api.spotify.com/v1/artists/7bXgB6jMjp9ATFy66eO08Z","7bXgB6jMjp9ATFy66eO08Z",640,"https://i.scdn.co/image/ab6761610000e5ebe50aa80e0f5869f84f6874d1",640,"Chris Brown",90,"artist","spotify:artist:7bXgB6jMjp9ATFy66eO08Z","https://open.spotify.com/artist/7bXgB6jMjp9ATFy66eO08Z",NA,18202791,"Pop",640
"c(""canadian pop"", ""pop"")","https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s","1uNFoZAHBGtllmzznpCI3s",640,"https://i.scdn.co/image/ab6761610000e5eb8ae7f2aaa9817a704a87ea36",640,"Justin Bieber",91,"artist","spotify:artist:1uNFoZAHBGtllmzznpCI3s","https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s",NA,69178319,"Pop",640
