"","character","trait_max","trait_min","avg_rating","number_ratings","anchor_trait"
"1","Dolores Abernathy","motivated","unmotivated",96.8,37,"motivated"
"2","Dolores Abernathy","main character","side character",95.5,11,"main character"
"3","Dolores Abernathy","persistent","quitter",95.4,24,"persistent"
"4","Dolores Abernathy","important","irrelevant",94.4,40,"important"
"5","Dolores Abernathy","f***-the-police","tattle-tale",93.7,35,"f***-the-police"
"6","Dolores Abernathy","badass","weakass",93,22,"badass"
"7","Dolores Abernathy","diligent","lazy",92.9,258,"diligent"
"8","Dolores Abernathy","beautiful","ugly",92.5,108,"beautiful"
"9","Dolores Abernathy","driven","unambitious",91.4,241,"driven"
"10","Dolores Abernathy","demanding","unchallenging",91.4,18,"demanding"
"11","Dolores Abernathy","active","slothful",90.7,224,"active"
"12","Dolores Abernathy","high IQ","low IQ",90.6,277,"high IQ"
"13","Dolores Abernathy","perceptive","unobservant",90.1,39,"perceptive"
"14","Dolores Abernathy","attractive","repulsive",89.7,279,"attractive"
"15","Dolores Abernathy","rebellious","obedient",89.2,237,"obedient"
"16","Dolores Abernathy","pointed","random",88.6,28,"pointed"
"17","Dolores Abernathy","competent","incompetent",88.5,246,"competent"
"18","Dolores Abernathy","captain","first-mate",88.4,234,"captain"
"19","Dolores Abernathy","vengeful","forgiving",88.3,256,"forgiving"
"20","Dolores Abernathy","feminist","sexist",88.2,29,"feminist"
"21","Dolores Abernathy","anarchist","statist",88,28,"anarchist"
"22","Dolores Abernathy","dramatic","comedic",87.7,30,"comedic"
"23","Dolores Abernathy","alpha","beta",87.5,262,"alpha"
"24","Dolores Abernathy","self-disciplined","disorganized",87.2,252,"disorganized"
"25","Dolores Abernathy","resistant","resigned",87.1,272,"resigned"
"26","Dolores Abernathy","🤺","🏌",86.9,28,"🏌"
"27","Dolores Abernathy","mighty","puny",86.6,248,"mighty"
"28","Dolores Abernathy","extraordinary","mundane",86.3,243,"extraordinary"
"29","Dolores Abernathy","overachiever","underachiever",86.2,30,"overachiever"
"30","Dolores Abernathy","go-getter","slugabed",86,28,"go-getter"
"31","Dolores Abernathy","haunted","blissful",86,31,"blissful"
"32","Dolores Abernathy","ferocious","pacifist",85.9,236,"ferocious"
"33","Dolores Abernathy","pro","noob",85.8,28,"noob"
